,Tel,Price,Metrdist,N,lon,Bal,Kitsp,lat,Brick,Totsp,Walk,Dist,Livesp,Rooms,District,New,Nfloors,Floor
1,1.0,69757710,1,1,37.537083,,15,55.749511,,115,1.0,1.2789578489114066,80,2,0,,62,51
2,1.0,103599000,7,2,37.622156,,–,55.734238,,"115,1",1.0,1.2789578489114066,–,3,0,,4,3
3,0.0,50000000,5,3,37.572351,1.0,"21,7",55.729665,1.0,75,1.0,1.2789578489114066,"28,3",2,0,0.0,13,6
4,,4585315,6,4,37.671938,0.0,–,55.775753,,"17,3",1.0,1.2789578489114066,"17,3",1,0,,,2
5,,4814581,6,5,37.671938,,–,55.775753,1.0,"17,3",1.0,1.2789578489114066,10,1,0,,5,2
6,0.0,4814581,5,6,37.672163,0.0,–,55.776294,1.0,"17,3",1.0,1.2789578489114066,"17,3",1,0,0.0,6,2
7,,5225953,6,7,37.671938,0.0,–,55.775753,,"18,1",1.0,1.2789578489114066,"18,1",1,0,,,4
8,1.0,5300000,4,8,37.673214,,7,55.730101,,32,1.0,1.2789578489114066,20,1,0,0.0,9,1
9,,5377566,6,9,37.671938,,–,55.775753,1.0,"18,3",1.0,1.2789578489114066,10,1,0,,5,5
10,0.0,5496232,5,10,37.672163,0.0,–,55.776294,1.0,"23,7",1.0,1.2789578489114066,"23,7",1,0,0.0,6,2
11,1.0,5550000,10,11,37.689042,1.0,"9,6",55.775793,,"37,4",1.0,1.2789578489114066,20,1,0,0.0,1,1
12,1.0,5900000,,12,37.522477,1.0,6,55.756356,1.0,30,,1.2789578489114066,16,1,0,0.0,5,3
13,,6000000,13,13,37.522998,,10,55.753387,,35,1.0,1.2789578489114066,20,1,0,0.0,12,1
14,1.0,6000000,10,14,37.677301,1.0,"9,6",55.737988,0.0,"35,1",0.0,1.2789578489114066,"20,1",1,0,0.0,12,12
15,1.0,6100000,12,15,37.558796,1.0,8,55.770613,1.0,34,1.0,1.2789578489114066,21,1,0,0.0,5,2
16,1.0,6100000,10,16,37.677301,1.0,10,55.737988,0.0,36,1.0,1.2789578489114066,20,1,0,0.0,12,12
17,,6258687,6,17,37.671938,,–,55.775753,1.0,"25,5",1.0,1.2789578489114066,15,1,0,,4,4
18,,6258687,6,18,37.671938,0.0,–,55.775753,,"25,5",1.0,1.2789578489114066,"25,5",1,0,,,4
19,1.0,6325576,5,19,37.671938,0.0,"29,5",55.775753,1.0,"29,5",1.0,1.2789578489114066,–,1,0,,4,3
20,,6325576,6,20,37.671938,,–,55.775753,1.0,30,1.0,1.2789578489114066,17,1,0,,4,3
